Title,Source,Date,Url,Category,Ticker,sentiment_1,sentiment_1_reason,sentiment_2,sentiment_2_reason
AMC Networks Inc. Reports Second Quarter 2025 Results,GlobeNewswire,2025-08-08 07:00:00,https://elite.finviz.com/news/133343/amc-networks-inc-reports-second-quarter-2025-results,Stock,AMCX,,,,
TeraWulf Reports Second Quarter 2025 Results,GlobeNewswire,2025-08-08 07:00:00,https://elite.finviz.com/news/133345/terawulf-reports-second-quarter-2025-results,Stock,WULF,,,,
Embecta Corp. Reports Third Quarter Fiscal 2025 Financial Results,GlobeNewswire,2025-08-08 06:30:00,https://elite.finviz.com/news/133307/embecta-corp-reports-third-quarter-fiscal-2025-financial-results,Stock,EMBC,,,,
GRAY ANNOUNCES QUARTERLY CASH DIVIDEND OF $0.08 PER SHARE,GlobeNewswire,2025-08-08 06:05:00,https://elite.finviz.com/news/133284/gray-announces-quarterly-cash-dividend-of-008-per-share,Stock,GTN,,,,
embecta Announces Quarterly Cash Dividend,GlobeNewswire,2025-08-08 06:00:00,https://elite.finviz.com/news/133277/embecta-announces-quarterly-cash-dividend,Stock,EMBC,,,,
Gray Media Announces Second Quarter Financial Results,GlobeNewswire,2025-08-08 06:00:00,https://elite.finviz.com/news/133282/gray-media-announces-second-quarter-financial-results,Stock,GTN,,,,
"The Zacks Analyst Blog Highlights Meta Platforms, Alphabet, Amazon and Snap",Zacks,2025-08-08 05:29:00,https://elite.finviz.com/news/133304/the-zacks-analyst-blog-highlights-meta-platforms-alphabet-amazon-and-snap,Stock,SNAP,,,,
Dimensional Fund Advisors Ltd. : Form 8.3 - AMERICAN AXLE & MFG HOLDINGS - Ordinary Shares,GlobeNewswire,2025-08-08 05:20:00,https://finance.yahoo.com/news/dimensional-fund-advisors-ltd-form-092000427.html,Stock,AXL,,,,
"Man Group PLC : Form 8.3 - American Axle & Manufacturing Holdings, Inc.",GlobeNewswire,2025-08-08 05:11:00,https://finance.yahoo.com/news/man-group-plc-form-8-091100462.html,Stock,AXL,,,,
"Zacks Industry Outlook Highlights Honda Motor, Geely Automobile Holdings and NIO",Zacks,2025-08-08 04:58:00,https://elite.finviz.com/news/133269/zacks-industry-outlook-highlights-honda-motor-geely-automobile-holdings-and-nio,Stock,NIO,,,,
FiscalNote Holdings Inc (NOTE) Q2 2025 Earnings Call Highlights: Surpassing Expectations with ...,GuruFocus.com,2025-08-08 03:45:43,https://finance.yahoo.com/news/fiscalnote-holdings-inc-note-q2-074543974.html,Stock,NOTE,,,,
Array Technologies Inc (ARRY) Q2 2025 Earnings Call Highlights: Robust Growth Amid Regulatory ...,GuruFocus.com,2025-08-08 03:45:18,https://finance.yahoo.com/news/array-technologies-inc-arry-q2-074518601.html,Stock,ARRY,,,,
Amprius Technologies Inc (AMPX) Q2 2025 Earnings Call Highlights: Record Revenue Growth and ...,GuruFocus.com,2025-08-08 03:45:08,https://finance.yahoo.com/news/amprius-technologies-inc-ampx-q2-074508466.html,Stock,AMPX,,,,
Nextdoor Holdings Inc (NXDR) Q2 2025 Earnings Call Highlights: Strong User Engagement and ...,GuruFocus.com,2025-08-08 03:44:55,https://finance.yahoo.com/news/nextdoor-holdings-inc-nxdr-q2-074455227.html,Stock,NXDR,,,,
FIGS Inc (FIGS) Q2 2025 Earnings Call Highlights: Record Revenue and Strategic Growth Amid ...,GuruFocus.com,2025-08-08 03:44:19,https://finance.yahoo.com/news/figs-inc-figs-q2-2025-074419583.html,Stock,FIGS,,,,
Indie Semiconductor Inc (INDI) Q2 2025 Earnings Call Highlights: Surpassing Revenue ...,GuruFocus.com,2025-08-08 03:44:10,https://finance.yahoo.com/news/indie-semiconductor-inc-indi-q2-074410479.html,Stock,INDI,,,,
WM Technology Inc (MAPS) Q2 2025 Earnings Call Highlights: Navigating Market Challenges with ...,GuruFocus.com,2025-08-08 03:43:44,https://finance.yahoo.com/news/wm-technology-inc-maps-q2-074344902.html,Stock,MAPS,,,,
loanDepot Inc (LDI) Q2 2025 Earnings Call Highlights: Strong Loan Origination Growth Amidst ...,GuruFocus.com,2025-08-08 03:43:10,https://finance.yahoo.com/news/loandepot-inc-ldi-q2-2025-074310728.html,Stock,LDI,,,,
DocGo Inc (DCGO) Q2 2025 Earnings Call Highlights: Navigating Revenue Challenges Amid ...,GuruFocus.com,2025-08-08 03:42:58,https://finance.yahoo.com/news/docgo-inc-dcgo-q2-2025-074258600.html,Stock,DCGO,,,,
AbCellera Biologics Inc (ABCL) Q2 2025 Earnings Call Highlights: Revenue Surge and Clinical ...,GuruFocus.com,2025-08-08 03:42:47,https://finance.yahoo.com/news/abcellera-biologics-inc-abcl-q2-074247473.html,Stock,ABCL,,,,
